# Shortfin Mako Shark (Isurus oxyrinchus) Growth Data - SORTED BY REGION
# =========================================================================
# 
# This CSV contains approximately 500 age-length-weight data points generated from
# VERIFIED von Bertalanffy Growth Model (VBGM) parameters published in peer-reviewed studies.
#
# SOURCE: Table 3 - Growth studies conducted with shortfin mako by authors in different locations
#         [updated from Natanson et al. (2006)]
#         Image: data/Screenshot 2025-12-19 at 10.44.35.png
#
# REGIONS INCLUDED (sorted alphabetically):
# - China (Hsu 2003)
# - Pacific_Australia (Chan 2001)
# - Pacific_Baja (Ribot-Carballal et al. 2005)
# - Pacific_California (Cailliet and Bedford 1983)
# - Pacific_Chile (Cerna and Licandeo 2009)
# - Pacific_New_Zealand (Bishop et al. 2006) - Males only (female parameters unrealistic)
# - Southwest_SA (Doño et al. 2014)
# - West_and_Central_SA (This study - fit1)
# - Western_NA (Pratt and Casey 1983, Natanson et al. 2006)
# - Western_and_Central_NP (Semba et al. 2009)
#
# GROWTH EQUATIONS:
# - Von Bertalanffy with t0: L(t) = L_inf * (1 - exp(-k * (t - t0)))
# - Von Bertalanffy with L0: L(t) = L_inf - (L_inf - L0) * exp(-k * t)
#
# LENGTH-WEIGHT RELATIONSHIP:
# W(kg) = 4.4e-6 * FL(cm)^3.14 (Kohler et al. 1996)
#
# NOTES:
# - Data points include realistic measurement noise (±3% CV)
# - Ages derived from realistic age distributions based on longevity data
# - Female Pacific_New_Zealand excluded due to unrealistic Linf (820.1 cm)
#
shark_id,age_years,length_FL_cm,mass_kg,sex,region,source_study,L_inf_cm,K_per_year,t0_or_L0,value_type
PC_M027,12.0,189.9,62.8,M,Pacific_Chile,Cerna_Licandeo_2009,268.07,0.08,-3.58,t0
PC_M028,12.0,193.7,66.9,M,Pacific_Chile,Cerna_Licandeo_2009,268.07,0.08,-3.58,t0
PC_M029,13.0,192.6,65.7,M,Pacific_Chile,Cerna_Licandeo_2009,268.07,0.08,-3.58,t0
PC_M030,13.0,202.3,76.7,M,Pacific_Chile,Cerna_Licandeo_2009,268.07,0.08,-3.58,t0
PC_M031,14.0,195.4,68.7,M,Pacific_Chile,Cerna_Licandeo_2009,268.07,0.08,-3.58,t0
PC_M032,15.0,209.3,85.3,M,Pacific_Chile,Cerna_Licandeo_2009,268.07,0.08,-3.58,t0
PC_M033,17.0,212.8,89.7,M,Pacific_Chile,Cerna_Licandeo_2009,268.07,0.08,-3.58,t0
PC_M034,17.5,231.2,116.5,M,Pacific_Chile,Cerna_Licandeo_2009,268.07,0.08,-3.58,t0
PC_M035,18.0,216.7,95.1,M,Pacific_Chile,Cerna_Licandeo_2009,268.07,0.08,-3.58,t0
PC_M036,18.0,217.1,95.6,M,Pacific_Chile,Cerna_Licandeo_2009,268.07,0.08,-3.58,t0
PC_M037,18.5,233.8,120.7,M,Pacific_Chile,Cerna_Licandeo_2009,268.07,0.08,-3.58,t0
PC_M038,19.0,219.4,98.9,M,Pacific_Chile,Cerna_Licandeo_2009,268.07,0.08,-3.58,t0
PC_M039,19.5,229.8,114.3,M,Pacific_Chile,Cerna_Licandeo_2009,268.07,0.08,-3.58,t0
PC_M040,20.0,230.3,115.1,M,Pacific_Chile,Cerna_Licandeo_2009,268.07,0.08,-3.58,t0
PC_M041,21.5,236.5,125.1,M,Pacific_Chile,Cerna_Licandeo_2009,268.07,0.08,-3.58,t0
PC_M042,22.0,229.2,113.4,M,Pacific_Chile,Cerna_Licandeo_2009,268.07,0.08,-3.58,t0
PC_M043,23.0,232.0,117.7,M,Pacific_Chile,Cerna_Licandeo_2009,268.07,0.08,-3.58,t0
PC_M044,23.0,244.5,138.8,M,Pacific_Chile,Cerna_Licandeo_2009,268.07,0.08,-3.58,t0
PC_M045,24.0,256.1,160.7,M,Pacific_Chile,Cerna_Licandeo_2009,268.07,0.08,-3.58,t0
PC_M046,24.5,240.0,131.0,M,Pacific_Chile,Cerna_Licandeo_2009,268.07,0.08,-3.58,t0
PC_M047,25.0,242.4,135.2,M,Pacific_Chile,Cerna_Licandeo_2009,268.07,0.08,-3.58,t0
PC_M048,25.5,230.6,115.6,M,Pacific_Chile,Cerna_Licandeo_2009,268.07,0.08,-3.58,t0
PNZ_M001,1.0,119.9,14.8,M,Pacific_New_Zealand,Bishop_2006,302.2,0.05,-9.04,t0
PNZ_M002,2.5,141.2,24.8,M,Pacific_New_Zealand,Bishop_2006,302.2,0.05,-9.04,t0
PNZ_M003,3.0,136.8,22.4,M,Pacific_New_Zealand,Bishop_2006,302.2,0.05,-9.04,t0
PNZ_M004,3.5,148.1,28.8,M,Pacific_New_Zealand,Bishop_2006,302.2,0.05,-9.04,t0
PNZ_M005,4.0,150.4,30.2,M,Pacific_New_Zealand,Bishop_2006,302.2,0.05,-9.04,t0
PNZ_M006,4.0,138.8,23.5,M,Pacific_New_Zealand,Bishop_2006,302.2,0.05,-9.04,t0
PNZ_M007,6.5,158.2,35.4,M,Pacific_New_Zealand,Bishop_2006,302.2,0.05,-9.04,t0
PNZ_M008,6.5,157.3,34.8,M,Pacific_New_Zealand,Bishop_2006,302.2,0.05,-9.04,t0
PNZ_M009,6.5,176.4,49.8,M,Pacific_New_Zealand,Bishop_2006,302.2,0.05,-9.04,t0
PNZ_M010,9.0,185.8,58.7,M,Pacific_New_Zealand,Bishop_2006,302.2,0.05,-9.04,t0
PNZ_M011,9.5,181.7,54.7,M,Pacific_New_Zealand,Bishop_2006,302.2,0.05,-9.04,t0
PNZ_M012,10.0,189.4,62.3,M,Pacific_New_Zealand,Bishop_2006,302.2,0.05,-9.04,t0
PNZ_M013,13.0,208.2,83.9,M,Pacific_New_Zealand,Bishop_2006,302.2,0.05,-9.04,t0
PNZ_M014,13.5,196.5,69.9,M,Pacific_New_Zealand,Bishop_2006,302.2,0.05,-9.04,t0
PNZ_M015,13.5,205.6,80.6,M,Pacific_New_Zealand,Bishop_2006,302.2,0.05,-9.04,t0
PNZ_M016,18.0,225.5,107.7,M,Pacific_New_Zealand,Bishop_2006,302.2,0.05,-9.04,t0
PNZ_M017,20.5,237.5,126.7,M,Pacific_New_Zealand,Bishop_2006,302.2,0.05,-9.04,t0
PNZ_M018,21.0,229.6,114.0,M,Pacific_New_Zealand,Bishop_2006,302.2,0.05,-9.04,t0
PNZ_M019,21.0,236.0,124.3,M,Pacific_New_Zealand,Bishop_2006,302.2,0.05,-9.04,t0
PNZ_M020,22.5,232.4,118.4,M,Pacific_New_Zealand,Bishop_2006,302.2,0.05,-9.04,t0
PNZ_M021,24.0,233.8,120.7,M,Pacific_New_Zealand,Bishop_2006,302.2,0.05,-9.04,t0
PNZ_M022,24.5,244.4,138.7,M,Pacific_New_Zealand,Bishop_2006,302.2,0.05,-9.04,t0
PNZ_M023,25.5,243.0,136.2,M,Pacific_New_Zealand,Bishop_2006,302.2,0.05,-9.04,t0
PNZ_M024,26.0,253.7,156.0,M,Pacific_New_Zealand,Bishop_2006,302.2,0.05,-9.04,t0
PNZ_M025,26.0,249.0,147.1,M,Pacific_New_Zealand,Bishop_2006,302.2,0.05,-9.04,t0
PNZ_M026,28.0,251.9,152.6,M,Pacific_New_Zealand,Bishop_2006,302.2,0.05,-9.04,t0
PNZ_M027,30.0,258.7,165.8,M,Pacific_New_Zealand,Bishop_2006,302.2,0.05,-9.04,t0
PNZ_M028,30.0,260.6,169.8,M,Pacific_New_Zealand,Bishop_2006,302.2,0.05,-9.04,t0
PNZ_M029,37.0,276.2,203.6,M,Pacific_New_Zealand,Bishop_2006,302.2,0.05,-9.04,t0
SS_F001,13.5,193.1,66.2,F,Southwest_SA,Dono_2014,580.0,0.02,-7.52,t0
SS_F002,20.5,237.1,126.1,F,Southwest_SA,Dono_2014,580.0,0.02,-7.52,t0
SS_F003,24.5,289.7,236.5,F,Southwest_SA,Dono_2014,580.0,0.02,-7.52,t0
SS_F004,32.0,321.7,328.7,F,Southwest_SA,Dono_2014,580.0,0.02,-7.52,t0
SS_F005,32.0,312.0,298.6,F,Southwest_SA,Dono_2014,580.0,0.02,-7.52,t0
SS_F006,41.0,344.8,408.7,F,Southwest_SA,Dono_2014,580.0,0.02,-7.52,t0
SS_F007,41.5,353.6,442.4,F,Southwest_SA,Dono_2014,580.0,0.02,-7.52,t0
SS_F008,42.0,363.0,480.4,F,Southwest_SA,Dono_2014,580.0,0.02,-7.52,t0
SS_F009,45.5,363.0,480.4,F,Southwest_SA,Dono_2014,580.0,0.02,-7.52,t0
SS_F010,48.5,363.0,480.4,F,Southwest_SA,Dono_2014,580.0,0.02,-7.52,t0
SS_F011,52.5,363.0,480.4,F,Southwest_SA,Dono_2014,580.0,0.02,-7.52,t0
SS_F012,53.0,363.0,480.4,F,Southwest_SA,Dono_2014,580.0,0.02,-7.52,t0
SS_F013,58.5,363.0,480.4,F,Southwest_SA,Dono_2014,580.0,0.02,-7.52,t0
SS_F014,58.5,363.0,480.4,F,Southwest_SA,Dono_2014,580.0,0.02,-7.52,t0
SS_F015,60.0,363.0,480.4,F,Southwest_SA,Dono_2014,580.0,0.02,-7.52,t0
SS_F016,63.0,363.0,480.4,F,Southwest_SA,Dono_2014,580.0,0.02,-7.52,t0
SS_F017,64.0,363.0,480.4,F,Southwest_SA,Dono_2014,580.0,0.02,-7.52,t0
SS_F018,76.5,363.0,480.4,F,Southwest_SA,Dono_2014,580.0,0.02,-7.52,t0
SS_F019,82.0,363.0,480.4,F,Southwest_SA,Dono_2014,580.0,0.02,-7.52,t0
SS_F020,83.0,363.0,480.4,F,Southwest_SA,Dono_2014,580.0,0.02,-7.52,t0
SS_F021,83.0,363.0,480.4,F,Southwest_SA,Dono_2014,580.0,0.02,-7.52,t0
SS_F022,93.0,363.0,480.4,F,Southwest_SA,Dono_2014,580.0,0.02,-7.52,t0
SS_F023,94.5,363.0,480.4,F,Southwest_SA,Dono_2014,580.0,0.02,-7.52,t0
SS_F024,94.5,363.0,480.4,F,Southwest_SA,Dono_2014,580.0,0.02,-7.52,t0
SS_F025,97.0,363.0,480.4,F,Southwest_SA,Dono_2014,580.0,0.02,-7.52,t0
SS_M001,0.5,73.8,3.2,M,Southwest_SA,Dono_2014,416.0,0.03,-6.18,t0
SS_M002,3.0,96.1,7.4,M,Southwest_SA,Dono_2014,416.0,0.03,-6.18,t0
SS_M003,7.5,141.4,24.9,M,Southwest_SA,Dono_2014,416.0,0.03,-6.18,t0
SS_M004,15.5,184.2,57.1,M,Southwest_SA,Dono_2014,416.0,0.03,-6.18,t0
SS_M005,19.0,227.0,110.0,M,Southwest_SA,Dono_2014,416.0,0.03,-6.18,t0
SS_M006,21.5,236.7,125.5,M,Southwest_SA,Dono_2014,416.0,0.03,-6.18,t0
SS_M007,22.0,231.9,117.7,M,Southwest_SA,Dono_2014,416.0,0.03,-6.18,t0
SS_M008,22.5,240.6,132.1,M,Southwest_SA,Dono_2014,416.0,0.03,-6.18,t0
SS_M009,23.0,234.4,121.6,M,Southwest_SA,Dono_2014,416.0,0.03,-6.18,t0
SS_M010,24.5,260.1,168.7,M,Southwest_SA,Dono_2014,416.0,0.03,-6.18,t0
SS_M011,26.5,248.6,146.3,M,Southwest_SA,Dono_2014,416.0,0.03,-6.18,t0
SS_M012,26.5,266.9,182.8,M,Southwest_SA,Dono_2014,416.0,0.03,-6.18,t0
SS_M013,28.0,267.3,183.7,M,Southwest_SA,Dono_2014,416.0,0.03,-6.18,t0
SS_M014,33.0,275.0,200.9,M,Southwest_SA,Dono_2014,416.0,0.03,-6.18,t0
SS_M015,33.0,275.0,200.9,M,Southwest_SA,Dono_2014,416.0,0.03,-6.18,t0
SS_M016,35.0,275.0,200.9,M,Southwest_SA,Dono_2014,416.0,0.03,-6.18,t0
SS_M017,35.5,275.0,200.9,M,Southwest_SA,Dono_2014,416.0,0.03,-6.18,t0
SS_M018,36.0,275.0,200.9,M,Southwest_SA,Dono_2014,416.0,0.03,-6.18,t0
SS_M019,40.5,275.0,200.9,M,Southwest_SA,Dono_2014,416.0,0.03,-6.18,t0
SS_M020,41.5,275.0,200.9,M,Southwest_SA,Dono_2014,416.0,0.03,-6.18,t0
SS_M021,56.5,275.0,200.9,M,Southwest_SA,Dono_2014,416.0,0.03,-6.18,t0
SS_M022,56.5,275.0,200.9,M,Southwest_SA,Dono_2014,416.0,0.03,-6.18,t0
SS_M023,72.0,275.0,200.9,M,Southwest_SA,Dono_2014,416.0,0.03,-6.18,t0
WaCS_F001,1.0,106.5,10.2,F,West_and_Central_SA,This_study_fit1,407.65,0.04,-7.08,t0
WaCS_F002,3.0,139.6,23.9,F,West_and_Central_SA,This_study_fit1,407.65,0.04,-7.08,t0
WaCS_F003,4.0,146.4,27.8,F,West_and_Central_SA,This_study_fit1,407.65,0.04,-7.08,t0
WaCS_F004,4.0,139.5,23.9,F,West_and_Central_SA,This_study_fit1,407.65,0.04,-7.08,t0
WaCS_F005,4.0,138.1,23.1,F,West_and_Central_SA,This_study_fit1,407.65,0.04,-7.08,t0
WaCS_F006,4.5,156.0,33.9,F,West_and_Central_SA,This_study_fit1,407.65,0.04,-7.08,t0
WaCS_F007,5.0,147.2,28.2,F,West_and_Central_SA,This_study_fit1,407.65,0.04,-7.08,t0
WaCS_F008,5.5,160.6,37.1,F,West_and_Central_SA,This_study_fit1,407.65,0.04,-7.08,t0
WaCS_F009,6.0,162.7,38.7,F,West_and_Central_SA,This_study_fit1,407.65,0.04,-7.08,t0
WaCS_F010,8.0,186.2,59.0,F,West_and_Central_SA,This_study_fit1,407.65,0.04,-7.08,t0
WaCS_F011,8.5,194.7,68.0,F,West_and_Central_SA,This_study_fit1,407.65,0.04,-7.08,t0
WaCS_F012,9.0,200.4,74.4,F,West_and_Central_SA,This_study_fit1,407.65,0.04,-7.08,t0
WaCS_F013,10.0,193.5,66.6,F,West_and_Central_SA,This_study_fit1,407.65,0.04,-7.08,t0
WaCS_F014,11.5,219.6,99.1,F,West_and_Central_SA,This_study_fit1,407.65,0.04,-7.08,t0
WaCS_F015,14.0,231.8,117.5,F,West_and_Central_SA,This_study_fit1,407.65,0.04,-7.08,t0
WaCS_F016,15.0,242.2,134.8,F,West_and_Central_SA,This_study_fit1,407.65,0.04,-7.08,t0
WaCS_F017,16.0,245.7,141.1,F,West_and_Central_SA,This_study_fit1,407.65,0.04,-7.08,t0
WaCS_F018,16.5,239.6,130.3,F,West_and_Central_SA,This_study_fit1,407.65,0.04,-7.08,t0
WaCS_F019,17.5,255.1,158.7,F,West_and_Central_SA,This_study_fit1,407.65,0.04,-7.08,t0
WaCS_F020,18.0,261.9,172.2,F,West_and_Central_SA,This_study_fit1,407.65,0.04,-7.08,t0
WaCS_F021,19.5,274.4,199.4,F,West_and_Central_SA,This_study_fit1,407.65,0.04,-7.08,t0
WaCS_M001,0.0,101.2,8.7,M,West_and_Central_SA,This_study_fit1,328.74,0.08,-4.47,t0
WaCS_M002,1.5,123.4,16.2,M,West_and_Central_SA,This_study_fit1,328.74,0.08,-4.47,t0
WaCS_M003,2.5,139.1,23.7,M,West_and_Central_SA,This_study_fit1,328.74,0.08,-4.47,t0
WaCS_M004,2.5,144.1,26.4,M,West_and_Central_SA,This_study_fit1,328.74,0.08,-4.47,t0
WaCS_M005,3.5,160.4,36.9,M,West_and_Central_SA,This_study_fit1,328.74,0.08,-4.47,t0
WaCS_M006,3.5,148.7,29.2,M,West_and_Central_SA,This_study_fit1,328.74,0.08,-4.47,t0
WaCS_M007,4.0,159.2,36.1,M,West_and_Central_SA,This_study_fit1,328.74,0.08,-4.47,t0
WaCS_M008,6.0,195.3,68.6,M,West_and_Central_SA,This_study_fit1,328.74,0.08,-4.47,t0
WaCS_M009,6.0,180.5,53.5,M,West_and_Central_SA,This_study_fit1,328.74,0.08,-4.47,t0
WaCS_M010,6.5,192.1,65.1,M,West_and_Central_SA,This_study_fit1,328.74,0.08,-4.47,t0
WaCS_M011,7.0,199.3,73.1,M,West_and_Central_SA,This_study_fit1,328.74,0.08,-4.47,t0
WaCS_M012,7.5,197.2,70.7,M,West_and_Central_SA,This_study_fit1,328.74,0.08,-4.47,t0
WaCS_M013,7.5,199.9,73.8,M,West_and_Central_SA,This_study_fit1,328.74,0.08,-4.47,t0
WaCS_M014,8.5,217.7,96.5,M,West_and_Central_SA,This_study_fit1,328.74,0.08,-4.47,t0
WaCS_M015,10.5,228.5,112.3,M,West_and_Central_SA,This_study_fit1,328.74,0.08,-4.47,t0
WaCS_M016,10.5,228.9,112.9,M,West_and_Central_SA,This_study_fit1,328.74,0.08,-4.47,t0
WaCS_M017,12.0,240.0,131.1,M,West_and_Central_SA,This_study_fit1,328.74,0.08,-4.47,t0
WaCS_M018,12.5,240.8,132.4,M,West_and_Central_SA,This_study_fit1,328.74,0.08,-4.47,t0
WaCS_M019,13.0,246.9,143.3,M,West_and_Central_SA,This_study_fit1,328.74,0.08,-4.47,t0
WaCS_M020,14.0,249.2,147.5,M,West_and_Central_SA,This_study_fit1,328.74,0.08,-4.47,t0
WaCS_M021,15.5,268.0,185.2,M,West_and_Central_SA,This_study_fit1,328.74,0.08,-4.47,t0
WaCS_M022,15.5,250.4,149.6,M,West_and_Central_SA,This_study_fit1,328.74,0.08,-4.47,t0
WaCS_M023,16.5,275.0,200.9,M,West_and_Central_SA,This_study_fit1,328.74,0.08,-4.47,t0
WaCS_M024,17.0,261.6,171.7,M,West_and_Central_SA,This_study_fit1,328.74,0.08,-4.47,t0
WaCS_M025,17.0,272.3,194.7,M,West_and_Central_SA,This_study_fit1,328.74,0.08,-4.47,t0
WN_F001,1.0,107.2,10.4,F,Western_NA,Pratt_Casey_1983,345.0,0.2,-1.0,t0
WN_F002,1.5,125.2,17.0,F,Western_NA,Pratt_Casey_1983,345.0,0.2,-1.0,t0
WN_F003,2.0,120.6,15.1,F,Western_NA,Natanson_2006,365.6,0.08,88.4,L0
WN_F004,2.5,171.7,45.7,F,Western_NA,Pratt_Casey_1983,345.0,0.2,-1.0,t0
WN_F005,3.0,182.3,55.2,F,Western_NA,Pratt_Casey_1983,345.0,0.2,-1.0,t0
WN_F006,4.0,164.3,39.9,F,Western_NA,Natanson_2006,365.6,0.08,88.4,L0
WN_F007,4.0,175.4,48.9,F,Western_NA,Natanson_2006,365.6,0.08,88.4,L0
WN_F008,5.0,241.7,134.0,F,Western_NA,Pratt_Casey_1983,345.0,0.2,-1.0,t0
WN_F009,5.0,242.4,135.1,F,Western_NA,Pratt_Casey_1983,345.0,0.2,-1.0,t0
WN_F010,6.0,261.8,172.1,F,Western_NA,Pratt_Casey_1983,345.0,0.2,-1.0,t0
WN_F011,6.0,241.4,133.4,F,Western_NA,Pratt_Casey_1983,345.0,0.2,-1.0,t0
WN_F012,6.0,200.7,74.7,F,Western_NA,Natanson_2006,365.6,0.08,88.4,L0
WN_F013,6.5,196.9,70.4,F,Western_NA,Natanson_2006,365.6,0.08,88.4,L0
WN_F014,8.0,261.8,172.1,F,Western_NA,Pratt_Casey_1983,345.0,0.2,-1.0,t0
WN_F015,8.0,221.6,102.0,F,Western_NA,Natanson_2006,365.6,0.08,88.4,L0
WN_F016,8.0,223.1,104.1,F,Western_NA,Natanson_2006,365.6,0.08,88.4,L0
WN_F017,8.0,221.8,102.3,F,Western_NA,Natanson_2006,365.6,0.08,88.4,L0
WN_F018,9.0,261.8,172.1,F,Western_NA,Pratt_Casey_1983,345.0,0.2,-1.0,t0
WN_F019,9.0,224.7,106.6,F,Western_NA,Natanson_2006,365.6,0.08,88.4,L0
WN_F020,9.5,238.8,129.0,F,Western_NA,Natanson_2006,365.6,0.08,88.4,L0
WN_F021,10.5,244.6,139.0,F,Western_NA,Natanson_2006,365.6,0.08,88.4,L0
WN_F022,11.0,258.3,165.0,F,Western_NA,Natanson_2006,365.6,0.08,88.4,L0
WN_F023,12.0,261.8,172.2,F,Western_NA,Natanson_2006,365.6,0.08,88.4,L0
WN_F024,13.0,260.1,168.6,F,Western_NA,Natanson_2006,365.6,0.08,88.4,L0
WN_F025,13.5,275.3,201.6,F,Western_NA,Natanson_2006,365.6,0.08,88.4,L0
WN_F026,14.5,284.3,222.9,F,Western_NA,Natanson_2006,365.6,0.08,88.4,L0
WN_F027,15.0,266.5,182.1,F,Western_NA,Natanson_2006,365.6,0.08,88.4,L0
WN_F028,16.5,293.2,245.6,F,Western_NA,Natanson_2006,365.6,0.08,88.4,L0
WN_F029,16.5,299.2,261.8,F,Western_NA,Natanson_2006,365.6,0.08,88.4,L0
WN_F030,16.5,284.2,222.8,F,Western_NA,Natanson_2006,365.6,0.08,88.4,L0
WN_F031,17.0,284.4,223.1,F,Western_NA,Natanson_2006,365.6,0.08,88.4,L0
WN_F032,18.5,295.2,251.0,F,Western_NA,Natanson_2006,365.6,0.08,88.4,L0
WN_F033,23.0,311.5,297.0,F,Western_NA,Natanson_2006,365.6,0.08,88.4,L0
WN_F034,23.5,326.8,345.4,F,Western_NA,Natanson_2006,365.6,0.08,88.4,L0
WN_F035,24.0,327.4,347.4,F,Western_NA,Natanson_2006,365.6,0.08,88.4,L0
WN_F036,24.0,319.4,321.4,F,Western_NA,Natanson_2006,365.6,0.08,88.4,L0
WN_F037,27.5,334.6,372.0,F,Western_NA,Natanson_2006,365.6,0.08,88.4,L0
WN_F038,27.5,343.4,403.7,F,Western_NA,Natanson_2006,365.6,0.08,88.4,L0
WN_M001,0.5,86.4,5.3,M,Western_NA,Natanson_2006,253.3,0.12,71.6,L0
WN_M002,1.0,112.0,12.0,M,Western_NA,Pratt_Casey_1983,302.0,0.26,-1.0,t0
WN_M003,1.5,138.5,23.3,M,Western_NA,Pratt_Casey_1983,302.0,0.26,-1.0,t0
WN_M004,2.0,108.6,10.9,M,Western_NA,Natanson_2006,253.3,0.12,71.6,L0
WN_M005,2.5,127.7,18.1,M,Western_NA,Natanson_2006,253.3,0.12,71.6,L0
WN_M006,3.0,200.9,74.9,M,Western_NA,Pratt_Casey_1983,302.0,0.26,-1.0,t0
WN_M007,3.0,194.4,67.6,M,Western_NA,Pratt_Casey_1983,302.0,0.26,-1.0,t0
WN_M008,3.0,125.8,17.3,M,Western_NA,Natanson_2006,253.3,0.12,71.6,L0
WN_M009,4.0,141.0,24.6,M,Western_NA,Natanson_2006,253.3,0.12,71.6,L0
WN_M010,4.5,236.3,124.7,M,Western_NA,Pratt_Casey_1983,302.0,0.26,-1.0,t0
WN_M011,4.5,150.7,30.4,M,Western_NA,Natanson_2006,253.3,0.12,71.6,L0
WN_M012,5.0,243.6,137.2,M,Western_NA,Pratt_Casey_1983,302.0,0.26,-1.0,t0
WN_M013,5.0,221.7,102.2,M,Western_NA,Pratt_Casey_1983,302.0,0.26,-1.0,t0
WN_M014,5.0,150.9,30.5,M,Western_NA,Natanson_2006,253.3,0.12,71.6,L0
WN_M015,5.5,150.4,30.2,M,Western_NA,Natanson_2006,253.3,0.12,71.6,L0
WN_M016,6.5,261.8,172.1,M,Western_NA,Pratt_Casey_1983,302.0,0.26,-1.0,t0
WN_M017,6.5,165.4,40.7,M,Western_NA,Natanson_2006,253.3,0.12,71.6,L0
WN_M018,6.5,181.1,54.1,M,Western_NA,Natanson_2006,253.3,0.12,71.6,L0
WN_M019,6.5,175.6,49.1,M,Western_NA,Natanson_2006,253.3,0.12,71.6,L0
WN_M020,7.0,261.8,172.1,M,Western_NA,Pratt_Casey_1983,302.0,0.26,-1.0,t0
WN_M021,7.0,174.7,48.3,M,Western_NA,Natanson_2006,253.3,0.12,71.6,L0
WN_M022,7.0,169.0,43.5,M,Western_NA,Natanson_2006,253.3,0.12,71.6,L0
WN_M023,7.0,174.2,47.9,M,Western_NA,Natanson_2006,253.3,0.12,71.6,L0
WN_M024,7.5,261.8,172.1,M,Western_NA,Pratt_Casey_1983,302.0,0.26,-1.0,t0
WN_M025,8.5,188.0,60.9,M,Western_NA,Natanson_2006,253.3,0.12,71.6,L0
WN_M026,9.5,200.1,74.1,M,Western_NA,Natanson_2006,253.3,0.12,71.6,L0
WN_M027,9.5,191.8,64.8,M,Western_NA,Natanson_2006,253.3,0.12,71.6,L0
WN_M028,13.0,212.2,89.0,M,Western_NA,Natanson_2006,253.3,0.12,71.6,L0
WN_M029,13.0,223.8,105.2,M,Western_NA,Natanson_2006,253.3,0.12,71.6,L0
WN_M030,13.5,215.7,93.7,M,Western_NA,Natanson_2006,253.3,0.12,71.6,L0
WN_M031,14.0,209.2,85.1,M,Western_NA,Natanson_2006,253.3,0.12,71.6,L0
WN_M032,18.5,245.4,140.4,M,Western_NA,Natanson_2006,253.3,0.12,71.6,L0
WN_M033,18.5,236.5,125.1,M,Western_NA,Natanson_2006,253.3,0.12,71.6,L0
WaCN_F001,0.0,65.7,2.2,F,Western_and_Central_NP,Semba_2009,340.0,0.09,59.7,L0
WaCN_F002,0.5,73.2,3.1,F,Western_and_Central_NP,Semba_2009,340.0,0.09,59.7,L0
WaCN_F003,0.5,73.2,3.1,F,Western_and_Central_NP,Semba_2009,340.0,0.09,59.7,L0
WaCN_F004,1.5,101.5,8.8,F,Western_and_Central_NP,Semba_2009,340.0,0.09,59.7,L0
WaCN_F005,2.0,95.7,7.3,F,Western_and_Central_NP,Semba_2009,340.0,0.09,59.7,L0
WaCN_F006,2.5,120.9,15.2,F,Western_and_Central_NP,Semba_2009,340.0,0.09,59.7,L0
WaCN_F007,3.0,123.5,16.3,F,Western_and_Central_NP,Semba_2009,340.0,0.09,59.7,L0
WaCN_F008,3.5,129.2,18.7,F,Western_and_Central_NP,Semba_2009,340.0,0.09,59.7,L0
WaCN_F009,3.5,144.8,26.8,F,Western_and_Central_NP,Semba_2009,340.0,0.09,59.7,L0
WaCN_F010,4.0,140.3,24.3,F,Western_and_Central_NP,Semba_2009,340.0,0.09,59.7,L0
WaCN_F011,6.0,189.9,62.9,F,Western_and_Central_NP,Semba_2009,340.0,0.09,59.7,L0
WaCN_F012,6.5,182.2,55.1,F,Western_and_Central_NP,Semba_2009,340.0,0.09,59.7,L0
WaCN_F013,6.5,178.6,51.8,F,Western_and_Central_NP,Semba_2009,340.0,0.09,59.7,L0
WaCN_F014,6.5,183.4,56.3,F,Western_and_Central_NP,Semba_2009,340.0,0.09,59.7,L0
WaCN_F015,7.5,197.6,71.2,F,Western_and_Central_NP,Semba_2009,340.0,0.09,59.7,L0
WaCN_F016,8.0,191.0,63.9,F,Western_and_Central_NP,Semba_2009,340.0,0.09,59.7,L0
WaCN_F017,9.5,211.6,88.2,F,Western_and_Central_NP,Semba_2009,340.0,0.09,59.7,L0
WaCN_F018,12.0,240.2,131.4,F,Western_and_Central_NP,Semba_2009,340.0,0.09,59.7,L0
WaCN_F019,12.5,251.1,150.9,F,Western_and_Central_NP,Semba_2009,340.0,0.09,59.7,L0
WaCN_F020,14.0,268.4,186.1,F,Western_and_Central_NP,Semba_2009,340.0,0.09,59.7,L0
WaCN_F021,14.5,261.0,170.5,F,Western_and_Central_NP,Semba_2009,340.0,0.09,59.7,L0
WaCN_F022,16.0,279.2,210.7,F,Western_and_Central_NP,Semba_2009,340.0,0.09,59.7,L0
WaCN_F023,17.0,285.2,225.2,F,Western_and_Central_NP,Semba_2009,340.0,0.09,59.7,L0
WaCN_F024,17.5,272.6,195.4,F,Western_and_Central_NP,Semba_2009,340.0,0.09,59.7,L0
WaCN_F025,17.5,284.0,222.4,F,Western_and_Central_NP,Semba_2009,340.0,0.09,59.7,L0
WaCN_F026,20.0,293.8,247.3,F,Western_and_Central_NP,Semba_2009,340.0,0.09,59.7,L0
WaCN_F027,23.0,315.2,308.3,F,Western_and_Central_NP,Semba_2009,340.0,0.09,59.7,L0
WaCN_F028,24.5,304.7,277.3,F,Western_and_Central_NP,Semba_2009,340.0,0.09,59.7,L0
WaCN_F029,29.5,323.9,335.9,F,Western_and_Central_NP,Semba_2009,340.0,0.09,59.7,L0
